# CDet timing versus ECal time by half-bar (PMT group)
# Four overview canvases: two seven-half-bar banks for each layer
# layer half_module bank half_bar_in_half_module global_half_bar entries fit_status p0_ns p0_err_ns p1_ns_per_ns p1_err chi2 ndf chi2_ndf probability
2 0 1 10 10 2242 0 35.2103 0.394836 -0.197013 0.0170606 73.62 4 18.405 3.90148e-15
2 0 1 11 11 1781 0 36.7516 0.413648 -0.172617 0.0169142 15.3092 4 3.82729 0.00410112
2 0 1 12 12 286 0 37.8287 1.26803 -0.270956 0.0524906 1.06625 3 0.355417 0.785227
2 0 1 13 13 1936 0 35.6334 0.711247 -0.156321 0.0290146 49.4119 3 16.4706 1.06597e-10
2 1 1 7 21 4054 0 35.2616 0.262298 -0.222495 0.0117496 82.9228 3 27.6409 7.24374e-18
2 1 1 8 22 4 -1 nan nan nan nan nan 0 nan nan
2 1 1 9 23 1290 0 36.0618 0.526566 -0.270599 0.023632 23.0902 3 7.69674 3.86717e-05
2 1 1 10 24 675 0 34.0479 0.734637 -0.269557 0.0345732 5.28253 2 2.64126 0.0712711
2 1 1 11 25 3083 0 34.0092 0.354971 -0.192924 0.0160773 5.87807 4 1.46952 0.208441
2 1 1 12 26 5965 0 32.8936 0.228569 -0.173643 0.0104653 101.225 4 25.3063 5.39442e-21
2 1 1 13 27 21949 0 33.3089 0.127935 -0.149792 0.00578643 325.796 4 81.4491 2.94322e-69
2 2 1 7 35 4490 0 33.3975 0.352926 -0.132175 0.0148999 52.58 4 13.145 1.0433e-10
2 2 1 8 36 4203 0 32.8717 0.244447 -0.234591 0.0115299 20.4788 4 5.11971 0.000401625
2 2 1 9 37 5247 0 35.6592 0.270036 -0.428421 0.0135061 3.69643 3 1.23214 0.296166
2 2 1 10 38 1219 0 36.8033 0.64118 -0.481582 0.0334164 10.3705 3 3.45684 0.0156654
2 2 1 11 39 16 0 -194.367 1.59208e+08 11.5933 7.96038e+06 5.87486e-28 0 nan nan
2 2 1 12 40 0 -1 nan nan nan nan nan 0 nan nan
2 2 1 13 41 0 -1 nan nan nan nan nan 0 nan nan
2 3 1 7 49 279 0 36.3201 1.19607 -0.277762 0.0507244 16.4941 2 8.24705 0.000262031
2 3 1 8 50 2947 0 38.6323 0.440084 -0.271717 0.0178555 0.854915 3 0.284972 0.836292
2 3 1 9 51 1251 0 43.3916 0.669801 -0.378189 0.0264062 40.8319 3 13.6106 7.09856e-09
2 3 1 10 52 0 -1 nan nan nan nan nan 0 nan nan
2 3 1 11 53 0 -1 nan nan nan nan nan 0 nan nan
2 3 1 12 54 1730 0 38.1684 0.600458 -0.210156 0.0242828 29.7345 3 9.91149 1.56943e-06
2 3 1 13 55 1498 0 35.7207 0.534807 -0.083215 0.0212195 16.106 3 5.36865 0.00107865
2 4 1 7 63 2376 0 41.2551 0.488008 -0.465875 0.0209729 20.216 3 6.73866 0.000153117
2 4 1 8 64 2342 0 41.1234 0.679158 -0.443931 0.0282623 22.6318 3 7.54394 4.81854e-05
2 4 1 9 65 1811 0 34.8607 0.497158 -0.217191 0.0223838 27.51 4 6.87749 1.56758e-05
2 4 1 10 66 13777 0 33.6795 0.157074 -0.139359 0.00670151 379.892 5 75.9784 6.38687e-80
2 4 1 11 67 3583 0 37.8835 0.291453 -0.262671 0.0124364 118.015 4 29.5038 1.41757e-24
2 4 1 12 68 6737 0 37.6195 0.262231 -0.32653 0.0116511 20.4742 4 5.11856 0.000402468
2 4 1 13 69 2783 0 37.8276 0.400826 -0.322685 0.017752 8.8746 4 2.21865 0.0643115
2 5 1 7 77 11503 0 32.4387 0.194229 -0.222637 0.0093819 125.803 3 41.9342 4.34029e-27
2 5 1 8 78 18721 0 34.2624 0.109756 -0.273169 0.00546127 81.5139 4 20.3785 8.32162e-17
2 5 1 9 79 16680 0 35.0926 0.117619 -0.265976 0.00531692 237.495 4 59.3737 3.21307e-50
2 5 1 10 80 4752 0 32.688 0.214474 -0.253069 0.00981561 150.936 4 37.734 1.28276e-31
2 5 1 11 81 14 0 34.5117 1.90983 -0.09375 0.09375 0.0156556 1 0.0156556 0.900427
2 5 1 12 82 0 -1 nan nan nan nan nan 0 nan nan
2 5 1 13 83 0 -1 nan nan nan nan nan 0 nan nan
