3573,38.9593,35.3511,31.3977,31.283
3573,30.6389,29.4634,29.9025,30.8638
3575,30.6107,31.1269,31.3541,31.0935
3602,33.3092,33.8574,34.2676,34.008
3603,27.2985,34.8933,34.6957,34.2908
3604,42.4386,34.408,34.4928,34.2168
3648,32.8094,33.8514,33.9386,33.645
3682,32.0879,33.6344,33.5893,33.4829
3685,31.72,33.7238,33.4672,33.2273
3686,31.5046,34.1519,34.1661,34.0634
3694,30.2404,33.9475,34.0225,33.96
3757,30.9227,33.9951,33.6155,33.4729
3758,32.2412,34.3094,34.0854,34.0277
3786,31.8283,34.0211,33.8551,33.7999
3788,31.3934,34.2971,34.0039,33.7752
3844,31.4792,33.8399,33.4509,33.4013
3845,31.284,33.6784,33.5896,33.4501
3846,32.131,33.6564,33.5515,33.4586
4003,26.4644,33.8789,33.7422,33.399
4006,30.549,33.6883,33.4838,33.3741
4344,37.4724,39.9283,39.5392,39.971
4345,34.7496,38.4237,38.7931,38.9836
4400,35.5758,39.4877,39.7306,39.0812
4722,38.0834,40.4061,39.934,40.1394
4735,40.222,39.4276,39.1134,39.2819
4926,43.8436,37.2464,37.3562,36.669
4929,43.1422,35.0549,37.0224,36.4856
4985,29.7017,39.3308,34.6695,36.7725
5066,39.705,38.3906,38.7534,37.3468
5068,32.1399,37.1498,36.8843,36.2472
5290,39.3202,36.4952,37.8089,37.8344
5292,38.3364,33.4383,35.3121,35.4532
5294,37.3137,37.6424,36.2851,35.3697
5423,36.7156,34.98,35.2368,35.2785
5710,29.2375,30.0916,30.2814,30.0371
5722,30.4872,30.3017,30.3287,30.0587
5723,29.1927,30.682,30.7231,30.3686
5724,28.9093,30.6695,30.206,30.2066
5726,30.2654,30.3137,30.7823,30.2452
5794,36.709,31.4839,31.3225,30.8582
5795,37.3922,28.4691,30.5819,30.1474
5976,22.0887,33.1162,29.7066,26.264
5979,27.54,25.405,27.6892,29.1536
5992,27.3735,27.8364,26.7759,26.0151
5795,37.3922,28.4691,30.5819,30.1474
0,37.2843,40.3912,38.1484,38.4514
4344,48.3806,46.4706,46.2934,42.4787
3573,38.8636,32.6594,29.4165,31.6934
3575,38.7295,33.2163,29.3265,31.7884
3602,43.4669,33.0877,34.653,34.848
3603,42.9384,34.5534,34.5896,34.85
3604,42.4386,33.932,34.8238,34.8468
3648,42.4179,33.5074,34.0945,34.7192
3682,41.9601,33.5699,34.3442,34.3125
3685,42.2472,33.5293,34.4207,34.2176
3686,41.8916,33.8054,34.4711,34.4586
3694,42.567,33.3967,34.5827,34.5867
3757,42.0884,33.3327,34.2836,34.1918
3758,43.2792,34.1556,34.3717,34.539
3786,42.2017,33.5889,34.5022,34.4087
3788,41.174,33.6883,34.4115,34.8169
3844,41.9848,33.6219,34.4409,34.2459
3845,42.1694,33.5337,34.4003,34.2985
3846,41.9987,33.5544,34.503,34.199
4003,41.7335,33.631,34.742,34.3981
4006,41.7701,34.2023,34.7084,34.3378
4344,44.7991,44.6051,45.789,40.7869
4345,40.9886,44.4918,45.2776,40.4745
4400,42.6468,43.7171,45.6128,41.5285
4722,45.2329,44.2488,45.8197,41.8266
4735,40.222,43.6835,45.7024,40.766
4926,43.8436,41.9532,45.1079,40.0333
4929,43.1422,41.9308,45.5272,39.6838
4985,29.7017,44.1583,43.3298,40.1106
5066,43.9449,43.0536,45.1652,40.8851
5068,41.7641,42.9946,44.2775,40.5797
5290,39.3202,41.1669,43.5768,40.1452
5292,41.2713,41.1351,44.1942,39.7291
5294,39.8745,43.8368,45.0898,39.5699
5423,41.9683,41.6663,43.3797,39.7572
5710,34.8068,31.0509,32.6698,31.1994
3573,38.8636,32.6594,29.4165,31.6934
3575,38.7295,33.2163,29.3265,31.7884
