# CDet hierarchical eight-pixel-group timing diagnostic
# reference median of valid individual centroids
# manual LE-versus-TOT cuts:  (loaded 0)
# pixel bar group entries manual_2d_cut source broad_mu_ns group_mu_ns used_mu_ns used_mu_err_ns used_sigma_ns correction_ns total_offset_ns fit_status reason
154 9 19 510 0 group_fallback -6.51414 -6.35823 -6.35823 0.0513857 2.02814 2.57021 2.57021 0 "individual constrained fit failed quality criteria"
155 9 19 483 0 individual_fit -7.41282 -6.35823 -6.733 0.266854 1.5701 2.19544 2.19544 0 "valid constrained fit"
156 9 19 0 0 unused nan -6.35823 nan nan nan 0 0 -1 "known unused pixel"
157 9 19 49 0 group_fallback -9.48926 -6.35823 -6.35823 0.0513857 2.02814 2.57021 2.57021 0 "individual constrained fit failed quality criteria"
158 9 19 521 0 group_fallback -5.519 -6.35823 -6.35823 0.0513857 2.02814 2.57021 2.57021 0 "individual constrained fit failed quality criteria"
159 9 19 468 0 individual_fit -5.49378 -6.35823 -5.05093 0.384971 1.98325 3.87751 3.87751 0 "valid constrained fit"
160 10 20 229 0 individual_fit -5.90806 -9.36402 -4.70247 1.37148 3.02041 4.22597 4.22597 0 "valid constrained fit"
161 10 20 0 0 group_fallback nan -9.36402 -9.36402 0.11398 2.68921 -0.435581 -0.435581 -1 "insufficient individual entries"
162 10 20 101 0 group_fallback -11.8183 -9.36402 -9.36402 0.11398 2.68921 -0.435581 -0.435581 0 "individual constrained fit failed quality criteria"
163 10 20 160 0 individual_fit -8.89044 -9.36402 -8.68693 0.193803 1.32904 0.241512 0.241512 0 "valid constrained fit"
164 10 20 142 0 individual_fit -10.5384 -9.36402 -10.2944 0.253316 1.87149 -1.36595 -1.36595 0 "valid constrained fit"
165 10 20 52 0 individual_fit -10.8843 -9.36402 -11.1309 0.439934 1.14957 -2.2025 -2.2025 0 "valid constrained fit"
166 10 20 28 0 group_fallback nan -9.36402 -9.36402 0.11398 2.68921 -0.435581 -0.435581 -1 "insufficient individual entries"
167 10 20 149 0 individual_fit -9.38804 -9.36402 -9.50472 0.458345 2.02537 -0.576279 -0.576279 0 "valid constrained fit"
168 10 21 154 0 individual_fit -8.62895 -9.2141 -8.31912 0.439971 1.77047 0.609318 0.609318 0 "valid constrained fit"
169 10 21 382 0 individual_fit -8.07709 -9.2141 -8.14719 0.2423 1.32826 0.781246 0.781246 0 "valid constrained fit"
170 10 21 342 0 individual_fit -9.77919 -9.2141 -9.6226 0.408673 2.00974 -0.694164 -0.694164 0 "valid constrained fit"
171 10 21 100 0 individual_fit -9.92502 -9.2141 -9.44832 0.315589 1.21622 -0.519879 -0.519879 0 "valid constrained fit"
172 10 21 0 0 unused nan -9.2141 nan nan nan 0 0 -1 "known unused pixel"
173 10 21 23 0 group_fallback nan -9.2141 -9.2141 0.0662791 2.12508 -0.285664 -0.285664 -1 "insufficient individual entries"
174 10 21 270 0 group_fallback -9.91264 -9.2141 -9.2141 0.0662791 2.12508 -0.285664 -0.285664 0 "individual constrained fit failed quality criteria"
