# CDet hierarchical eight-pixel-group timing diagnostic
# reference median of valid individual centroids
# manual LE-versus-TOT cuts: CDet_run5710_halfbar_aligned_final_archive/CDet_pixel_quality_cuts_run5710_halfbar_aligned_final.root (loaded 102)
# pixel bar group entries manual_2d_cut source broad_mu_ns group_mu_ns used_mu_ns used_mu_err_ns used_sigma_ns correction_ns total_offset_ns fit_status reason
79 4 9 0 0 unused nan -7.19952 nan nan nan 0 0 -1 "known unused pixel"
80 5 10 12 0 group_fallback nan -8.93725 -8.93725 0.484566 3.8292 -1.77802 5.94674 -1 "insufficient individual entries"
81 5 10 8 0 group_fallback nan -8.93725 -8.93725 0.484566 3.8292 -1.77802 5.94674 -1 "insufficient individual entries"
82 5 10 33 0 group_fallback nan -8.93725 -8.93725 0.484566 3.8292 -1.77802 5.94674 -1 "insufficient individual entries"
83 5 10 0 0 unused nan -8.93725 nan nan nan 0 0 -1 "known unused pixel"
84 5 10 20 0 group_fallback nan -8.93725 -8.93725 0.484566 3.8292 -1.77802 5.94674 -1 "insufficient individual entries"
85 5 10 3 0 group_fallback nan -8.93725 -8.93725 0.484566 3.8292 -1.77802 5.94674 -1 "insufficient individual entries"
86 5 10 19 1 group_fallback nan -8.93725 -8.93725 0.484566 3.8292 -1.77802 10.9298 -1 "manual selection has insufficient individual entries"
87 5 10 67 0 individual_fit -9.48505 -8.93725 -9.3 1.38055 3.63348 -2.14077 7.9298 0 "valid constrained fit"
88 5 11 5 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
89 5 11 1 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
90 5 11 0 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
91 5 11 2 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
92 5 11 0 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
93 5 11 0 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
94 5 11 0 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
95 5 11 0 0 unused nan nan nan nan nan 0 0 -1 "known unused pixel"
96 6 12 0 0 group_fallback nan -25.3139 -25.3139 0.264281 0.668173 -18.1546 5.00337 -1 "insufficient individual entries"
97 6 12 0 0 group_fallback nan -25.3139 -25.3139 0.264281 0.668173 -18.1546 5.00337 -1 "insufficient individual entries"
98 6 12 0 0 group_fallback nan -25.3139 -25.3139 0.264281 0.668173 -18.1546 5.00337 -1 "insufficient individual entries"
99 6 12 0 0 group_fallback nan -25.3139 -25.3139 0.264281 0.668173 -18.1546 5.00337 -1 "insufficient individual entries"
100 6 12 30 1 group_fallback nan -25.3139 -25.3139 0.264281 0.668173 -18.1546 4.05389 -1 "manual selection has insufficient individual entries"
101 6 12 82 1 manual_2d_fit -25.3524 -25.3139 -25.4147 0.282554 0.707732 -18.2555 5.65268 0 "valid fit seeded from manually selected two-dimensional population"
102 6 12 12 1 group_fallback nan -25.3139 -25.3139 0.264281 0.668173 -18.1546 5.00337 -1 "manual selection has insufficient individual entries"
103 6 12 36 0 group_fallback -9.9037 -25.3139 -25.3139 0.264281 0.668173 -18.1546 5.00337 0 "individual constrained fit failed quality criteria"
104 6 13 33 1 group_fallback nan -6.40281 -6.40281 0.248071 4.03998 0.756417 13.7734 -1 "manual selection has insufficient individual entries"
105 6 13 104 0 individual_fit -7.47135 -6.40281 -6.85981 0.87254 3.09081 0.299413 9.08751 0 "valid constrained fit"
106 6 13 83 0 individual_fit -5.81544 -6.40281 -5.80496 0.448628 1.24197 1.35427 8.11212 0 "valid constrained fit"
107 6 13 42 0 individual_fit -6.50735 -6.40281 -6.45433 0.249707 0.5 0.704896 12.3084 0 "valid constrained fit"
108 6 13 87 0 individual_fit -3.28205 -6.40281 -3.79001 1.08462 2.46716 3.36922 10.407 0 "valid constrained fit"
109 6 13 0 0 unused nan -6.40281 nan nan nan 0 0 -1 "known unused pixel"
110 6 13 82 0 individual_fit -6.65373 -6.40281 -6.65207 1.01218 3.94193 0.50716 6.59934 0 "valid constrained fit"
111 6 13 0 0 unused nan -6.40281 nan nan nan 0 0 -1 "known unused pixel"
112 7 14 0 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
113 7 14 0 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
114 7 14 0 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
115 7 14 0 0 unused nan nan nan nan nan 0 0 -1 "known unused pixel"
116 7 14 0 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
117 7 14 0 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
118 7 14 0 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
119 7 14 0 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
120 7 15 0 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
121 7 15 0 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
122 7 15 0 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
123 7 15 0 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
124 7 15 0 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
125 7 15 0 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
126 7 15 0 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
127 7 15 0 0 unused nan nan nan nan nan 0 0 -1 "known unused pixel"
128 8 16 16 0 group_fallback nan -7.48194 -7.48194 0.156565 2.67561 -0.32271 4.76177 -1 "insufficient individual entries"
