# CDet all-pixel ECal-CDet timing-offset extraction
# run 5710
# calibration_stage 7
# timing_units ns
# ecal_energy_cut_gev 1 12
# dt = tECal - tCDetLE
# fit_interval_ns -30 0
# calibration_centroid_source gaus(0)+pol1(3)_signal_mean; background subtraction is diagnostic only
# background_fit_interval_ns -60 30
# peak_seed_interval_ns -25 -5
# background_rejection_nsigma 2.5
# reference_scope detector-wide
# detector_mu0_ns -8.70682 detector_mu0_err_ns 0.00557766
# residual_correction = mu_i - detector_mu0; total_offset = existing_offset + residual_correction
# pixel_id bar entries fit_status valid_fit detector_reference_valid mu_ns mu_err_ns sigma_ns sigma_err_ns residual_correction_ns correction_err_ns total_offset_ns detector_mu0_ns detector_mu0_err_ns chi2 ndf chi2_ndf amplitude amplitude_err background_amplitude background_amplitude_limit background_mean_ns background_sigma_ns reject_low_ns reject_high_ns validity_code failure_reason
125 7 0 -1 0 1 nan nan nan nan 0 nan 0 -8.70682 0.00557766 nan 0 nan nan nan nan nan nan nan nan nan 2 "insufficient entries"
126 7 0 -1 0 1 nan nan nan nan 0 nan 0 -8.70682 0.00557766 nan 0 nan nan nan nan nan nan nan nan nan 2 "insufficient entries"
127 7 0 -1 0 1 nan nan nan nan 0 nan 0 -8.70682 0.00557766 nan 0 nan nan nan nan nan nan nan nan nan 1 "unused pixel"
128 8 8 -1 0 1 nan nan nan nan 0 nan 0 -8.70682 0.00557766 nan 0 nan nan nan nan nan nan nan nan nan 2 "insufficient entries"
129 8 38 -1 0 1 nan nan nan nan 0 nan 0 -8.70682 0.00557766 nan 0 nan nan nan nan nan nan nan nan nan 2 "insufficient entries"
130 8 30 -1 0 1 nan nan nan nan 0 nan 0 -8.70682 0.00557766 nan 0 nan nan nan nan nan nan nan nan nan 2 "insufficient entries"
131 8 11 -1 0 1 nan nan nan nan 0 nan 0 -8.70682 0.00557766 nan 0 nan nan nan nan nan nan nan nan nan 2 "insufficient entries"
132 8 37 -1 0 1 nan nan nan nan 0 nan 0 -8.70682 0.00557766 nan 0 nan nan nan nan nan nan nan nan nan 2 "insufficient entries"
133 8 40 -1 0 1 nan nan nan nan 0 nan 0 -8.70682 0.00557766 nan 0 nan nan nan nan nan nan nan nan nan 2 "insufficient entries"
134 8 47 -1 0 1 nan nan nan nan 0 nan 0 -8.70682 0.00557766 nan 0 nan nan nan nan nan nan nan nan nan 2 "insufficient entries"
135 8 65 -1 0 1 nan nan nan nan 0 nan 0 -8.70682 0.00557766 nan 0 nan nan nan nan nan nan nan nan nan 2 "insufficient entries"
