# CDet half-bar intercept alignment at common ECal time
# reference_ecal_time_ns 22
# common_within_slope_ns_per_ns -0.00117886
# detector_reference_ns 28.737
# layer half_bar entries mean_ecal_ns mean_cdet_ns projected_cdet_at_reference_ns intercept_error_ns valid proposed_offset_increment_ns
2 60 1108 24.9084 28.7121 28.7155 0.0901509 1 0.0214666
2 61 274 23.4725 28.8193 28.821 0.183882 1 -0.0839781
2 62 3296 23.1269 28.7421 28.7435 0.0588129 1 -0.00645517
2 63 1937 23.5892 28.7313 28.7332 0.0750584 1 0.00381383
2 64 1944 24.4325 28.5871 28.5899 0.11144 1 0.147097
2 65 1384 22.3143 28.7658 28.7661 0.089794 1 -0.0291094
2 66 11390 22.9995 28.7078 28.709 0.0289737 1 0.0280326
2 67 2580 23.104 28.7457 28.747 0.0610634 1 -0.0099465
2 68 5047 22.4376 28.7427 28.7433 0.0442443 1 -0.00624528
2 69 1932 22.6135 28.751 28.7518 0.0723377 1 -0.0147522
2 70 1 18.8616 36.5199 36.5162 nan 0 0
2 71 0 nan nan nan nan 0 0
2 72 2 24.3048 39.1982 39.2009 2.78263 0 0
2 73 9 20.4689 31.2055 31.2036 4.92154 0 0
2 74 47 20.3079 33.4107 33.4087 1.35733 0 0
2 75 24 21.8543 35.1261 35.1259 1.27763 0 0
2 76 7332 20.8042 28.7408 28.7394 0.0339973 1 -0.0023376
2 77 10201 20.7908 28.7242 28.7227 0.0241059 1 0.0142787
2 78 15818 19.9297 28.7193 28.7169 0.0246614 1 0.0201559
2 79 14446 22.0242 28.7401 28.7402 0.0184744 1 -0.0031367
2 80 4394 21.6735 28.7213 28.7209 0.0454366 1 0.0160829
2 81 11 20.7004 31.6482 31.6467 1.04917 0 0
2 82 0 nan nan nan nan 0 0
2 83 0 nan nan nan nan 0 0
