# CDet half-bar intercept alignment at common ECal time
# reference_ecal_time_ns 22
# common_within_slope_ns_per_ns 0.00326066
# detector_reference_ns 28.8066
# layer half_bar entries mean_ecal_ns mean_cdet_ns projected_cdet_at_reference_ns intercept_error_ns valid proposed_offset_increment_ns
2 38 1070 18.4078 26.7961 26.8078 0.1134 1 1.99874
2 39 15 19.5503 38.0977 38.1056 0.833946 0 0
2 40 0 nan nan nan nan 0 0
2 41 0 nan nan nan nan 0 0
2 42 0 nan nan nan nan 0 0
2 43 0 nan nan nan nan 0 0
2 44 1 25.5259 27.069 27.0575 nan 0 0
2 45 762 25.7993 32.742 32.7296 0.0997271 1 -3.92301
2 46 0 nan nan nan nan 0 0
2 47 388 25.2723 30.2368 30.2261 0.201215 1 -1.41957
2 48 489 25.5615 32.3225 32.3109 0.193779 1 -3.50436
2 49 225 24.0228 29.7823 29.7757 0.247968 1 -0.969104
2 50 2676 24.4608 31.0594 31.0513 0.0536296 1 -2.24477
2 51 932 25.3193 33.1405 33.1297 0.113718 1 -4.32314
2 52 0 nan nan nan nan 0 0
2 53 0 nan nan nan nan 0 0
2 54 1529 24.7668 31.9661 31.9571 0.0704289 1 -3.15053
2 55 1232 25.4372 32.5093 32.4981 0.091183 1 -3.69152
2 56 2763 26.0678 33.2563 33.243 0.0487238 1 -4.43647
2 57 1814 25.4922 32.2408 32.2295 0.0694543 1 -3.42289
2 58 3125 26.0767 32.6093 32.596 0.0500065 1 -3.78941
2 59 854 25.1125 32.2994 32.2892 0.086837 1 -3.48267
2 60 1106 24.9126 31.1333 31.1238 0.0902079 1 -2.31725
2 61 275 23.4771 29.8021 29.7973 0.211493 1 -0.990757
2 62 3296 23.1282 29.9281 29.9244 0.0588204 1 -1.11788
2 63 1935 23.5789 29.7574 29.7522 0.0752329 1 -0.945638
2 64 1936 24.4466 30.9531 30.9451 0.113052 1 -2.13855
2 65 1384 22.324 29.4462 29.4452 0.0893186 1 -0.638588
2 66 11378 22.9975 29.5063 29.5031 0.0288684 1 -0.696503
2 67 2589 23.1165 30.7346 30.731 0.0610066 1 -1.92441
2 68 5049 22.4377 29.5559 29.5544 0.0448864 1 -0.747854
2 69 1930 22.6158 29.7854 29.7834 0.0706882 1 -0.976822
2 70 1 18.8616 36.5804 36.5906 nan 0 0
2 71 0 nan nan nan nan 0 0
2 72 2 24.3048 39.2762 39.2687 2.78458 0 0
2 73 9 20.4689 31.2711 31.2761 4.92136 0 0
2 74 47 20.3079 33.4758 33.4813 1.35748 0 0
2 75 23 21.6764 34.5616 34.5627 1.15835 0 0
2 76 7328 20.8052 27.3571 27.361 0.0338454 1 1.44561
2 77 10202 20.7898 27.0006 27.0045 0.0235892 1 1.80203
2 78 15808 19.9285 27.6816 27.6884 0.0244883 1 1.1182
2 79 14444 22.0231 28.4437 28.4436 0.0184117 1 0.362963
2 80 4396 21.6759 27.0154 27.0164 0.045481 1 1.79016
2 81 11 20.7004 31.7146 31.7189 1.0492 0 0
2 82 0 nan nan nan nan 0 0
2 83 0 nan nan nan nan 0 0
