# CDet hierarchical eight-pixel-group timing diagnostic
# reference median of valid constrained individual centroids
# pixel bar group entries source broad_mu_ns group_mu_ns used_mu_ns used_mu_err_ns used_sigma_ns correction_ns total_offset_ns fit_status reason
133 8 16 40 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
134 8 16 39 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
135 8 16 61 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
136 8 17 168 individual_fit -8.33335 -8.19798 -8.18953 0.388502 2.17433 0.249045 8.27423 0 "valid constrained fit"
137 8 17 134 individual_fit -8.12617 -8.19798 -7.97541 0.608159 2.87213 0.463168 6.67774 0 "valid constrained fit"
138 8 17 113 individual_fit -8.25147 -8.19798 -7.65346 0.512689 2.23776 0.785119 7.53254 0 "valid constrained fit"
139 8 17 173 individual_fit -8.12498 -8.19798 -8.21845 0.849062 3.47209 0.220129 8.11978 0 "valid constrained fit"
140 8 17 0 unused nan -8.19798 nan nan nan 0 0 -1 "known unused pixel"
141 8 17 149 group_fallback -8.36987 -8.19798 -8.19798 0.159292 3.36719 0.240598 6.79093 0 "individual constrained fit failed quality criteria"
142 8 17 10 group_fallback nan -8.19798 -8.19798 0.159292 3.36719 0.240598 0.240598 -1 "insufficient individual entries"
143 8 17 0 unused nan -8.19798 nan nan nan 0 0 -1 "known unused pixel"
144 9 18 56 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
145 9 18 0 unused nan nan nan nan nan 0 0 -1 "known unused pixel"
146 9 18 15 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
147 9 18 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
148 9 18 47 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
149 9 18 33 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
150 9 18 23 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
151 9 18 20 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
152 9 19 68 group_fallback nan -8.14422 -8.14422 0.0697777 2.89828 0.294353 0.294353 -1 "insufficient individual entries"
153 9 19 217 individual_fit -8.00071 -8.14422 -7.83022 0.302654 2.25542 0.608361 7.11282 0 "valid constrained fit"
154 9 19 524 individual_fit -7.80374 -8.14422 -7.01679 0.415122 3.24778 1.42178 7.84194 0 "valid constrained fit"
155 9 19 520 individual_fit -8.11369 -8.14422 -7.62229 0.22552 2.74834 0.816288 6.47041 0 "valid constrained fit"
156 9 19 0 unused nan -8.14422 nan nan nan 0 0 -1 "known unused pixel"
157 9 19 59 group_fallback nan -8.14422 -8.14422 0.0697777 2.89828 0.294353 0.294353 -1 "insufficient individual entries"
158 9 19 606 individual_fit -8.21702 -8.14422 -7.94938 0.434025 3.43093 0.489195 8.44437 0 "valid constrained fit"
159 9 19 550 individual_fit -8.20563 -8.14422 -8.19508 0.288244 2.86278 0.243494 8.09482 0 "valid constrained fit"
160 10 20 278 individual_fit -8.25403 -8.61887 -8.12719 0.364873 2.68469 0.311391 7.76939 0 "valid constrained fit"
161 10 20 0 group_fallback nan -8.61887 -8.61887 0.105915 3.08579 -0.180291 -0.180291 -1 "insufficient individual entries"
162 10 20 150 individual_fit -8.58442 -8.61887 -8.54239 0.560788 3.22678 -0.103817 0.690927 0 "valid constrained fit"
163 10 20 211 individual_fit -8.32401 -8.61887 -7.95609 0.460896 2.79594 0.482489 3.5997 0 "valid constrained fit"
164 10 20 178 individual_fit -8.46458 -8.61887 -8.05484 0.264044 1.78139 0.383741 2.80959 0 "valid constrained fit"
165 10 20 60 group_fallback nan -8.61887 -8.61887 0.105915 3.08579 -0.180291 -0.180291 -1 "insufficient individual entries"
166 10 20 35 group_fallback nan -8.61887 -8.61887 0.105915 3.08579 -0.180291 -0.180291 -1 "insufficient individual entries"
167 10 20 191 individual_fit -8.70726 -8.61887 -8.90025 0.473884 2.72374 -0.461677 1.4752 0 "valid constrained fit"
168 10 21 177 group_fallback -8.31204 -8.83412 -8.83412 0.113388 3.44004 -0.395539 2.781 0 "individual constrained fit failed quality criteria"
169 10 21 413 individual_fit -8.27882 -8.83412 -8.16425 0.35367 3.17991 0.274327 4.14761 0 "valid constrained fit"
170 10 21 371 individual_fit -8.30525 -8.83412 -8.70152 0.426928 3.12569 -0.262947 1.88892 0 "valid constrained fit"
171 10 21 113 individual_fit -10.3708 -8.83412 -10.0205 0.488573 2.12221 -1.58191 2.62736 0 "valid constrained fit"
172 10 21 0 unused nan -8.83412 nan nan nan 0 0 -1 "known unused pixel"
173 10 21 25 group_fallback nan -8.83412 -8.83412 0.113388 3.44004 -0.395539 -0.395539 -1 "insufficient individual entries"
174 10 21 305 group_fallback -8.37389 -8.83412 -8.83412 0.113388 3.44004 -0.395539 2.21214 0 "individual constrained fit failed quality criteria"
175 10 21 0 unused nan -8.83412 nan nan nan 0 0 -1 "known unused pixel"
176 11 22 0 unused nan -7.67974 nan nan nan 0 0 -1 "known unused pixel"
177 11 22 19 group_fallback nan -7.67974 -7.67974 0.192794 3.32679 0.758837 0.758837 -1 "insufficient individual entries"
178 11 22 35 group_fallback nan -7.67974 -7.67974 0.192794 3.32679 0.758837 0.758837 -1 "insufficient individual entries"
179 11 22 45 group_fallback nan -7.67974 -7.67974 0.192794 3.32679 0.758837 0.758837 -1 "insufficient individual entries"
180 11 22 119 group_fallback -6.4752 -7.67974 -7.67974 0.192794 3.32679 0.758837 0.758837 0 "individual constrained fit failed quality criteria"
181 11 22 16 group_fallback nan -7.67974 -7.67974 0.192794 3.32679 0.758837 0.758837 -1 "insufficient individual entries"
182 11 22 136 individual_fit -6.90488 -7.67974 -6.39611 0.571092 2.56577 2.04246 2.04246 0 "valid constrained fit"
183 11 22 389 group_fallback -7.99111 -7.67974 -7.67974 0.192794 3.32679 0.758837 6.54749 0 "individual constrained fit failed quality criteria"
184 11 23 501 retained_existing nan nan nan nan nan 0 6.15383 -1 "invalid eight-pixel group fit"
185 11 23 16 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
186 11 23 40 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
187 11 23 33 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
188 11 23 0 unused nan nan nan nan nan 0 0 -1 "known unused pixel"
189 11 23 95 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
190 11 23 12 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
191 11 23 24 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
192 12 24 363 retained_existing nan nan nan nan nan 0 12.3614 -1 "invalid eight-pixel group fit"
