# CDet half-bar intercept alignment at common ECal time
# reference_ecal_time_ns 22
# common_within_slope_ns_per_ns -0.000309875
# detector_reference_ns 28.4241
# layer half_bar entries mean_ecal_ns mean_cdet_ns projected_cdet_at_reference_ns intercept_error_ns valid proposed_offset_increment_ns
2 65 1528 22.1474 28.4142 28.4143 0.0643776 1 0.00979799
2 66 11417 23.0292 28.4237 28.424 0.0203373 1 7.29933e-05
2 67 2570 23.0654 28.4841 28.4845 0.050083 1 -0.0603903
2 68 5127 22.4097 28.4174 28.4176 0.0342831 1 0.00649686
2 69 1986 22.5652 28.4596 28.4597 0.0591973 1 -0.0356778
2 70 1 18.8616 35.9403 35.9393 nan 0 0
2 71 0 nan nan nan nan 0 0
2 72 1 25.8858 35.8062 35.8074 nan 0 0
2 73 5 19.6092 39.3119 39.3112 1.06419 0 0
2 74 41 20.6038 32.6742 32.6737 0.998423 0 0
2 75 31 21.1433 33.6751 33.6748 0.854464 0 0
2 76 7586 20.8153 28.358 28.3576 0.0284044 1 0.0664799
2 77 10630 20.6791 28.3759 28.3755 0.0194325 1 0.0485326
2 78 17674 20.0988 28.3863 28.3857 0.0185145 1 0.0383874
2 79 14543 22.0228 28.4092 28.4093 0.0145378 1 0.0148156
2 80 4256 21.6643 28.3456 28.3455 0.0341385 1 0.0785763
2 81 11 20.7004 31.5928 31.5924 1.15355 0 0
2 82 0 nan nan nan nan 0 0
2 83 0 nan nan nan nan 0 0
