# CDet timing versus ECal time by half-bar (PMT group)
# Four overview canvases: two seven-half-bar banks for each layer
# layer half_module bank half_bar_in_half_module global_half_bar entries fit_status p0_ns p0_err_ns p1_ns_per_ns p1_err chi2 ndf chi2_ndf probability
2 2 1 7 35 4488 0 27.7926 0.325607 0.120005 0.0136161 50.7758 4 12.6939 2.48648e-10
2 2 1 8 36 4201 0 28.1586 0.245113 0.00464509 0.011568 13.1699 4 3.29247 0.0104749
2 2 1 9 37 5252 0 31.8247 0.261692 -0.210964 0.0131665 10.1705 3 3.39018 0.0171708
2 2 1 10 38 1218 0 32.6235 0.60453 -0.25762 0.0314579 12.074 3 4.02466 0.00713398
2 2 1 11 39 16 0 42.5357 3.3804 -0.267857 0.195727 7.46937e-28 0 nan nan
2 2 1 12 40 0 -1 nan nan nan nan nan 0 nan nan
2 2 1 13 41 0 -1 nan nan nan nan nan 0 nan nan
2 3 1 7 49 278 0 31.1205 1.1117 -0.03374 0.0469913 12.2712 2 6.1356 0.00216442
2 3 1 8 50 2951 0 33.0168 0.415471 -0.0322138 0.0168368 3.63745 3 1.21248 0.303368
2 3 1 9 51 1254 0 38.35 0.695857 -0.174375 0.0275104 33.1323 3 11.0441 3.02021e-07
2 3 1 10 52 0 -1 nan nan nan nan nan 0 nan nan
2 3 1 11 53 0 -1 nan nan nan nan nan 0 nan nan
2 3 1 12 54 1722 0 32.0313 0.56362 0.032352 0.0228169 31.6219 3 10.5406 6.28715e-07
2 3 1 13 55 1502 0 29.692 0.502356 0.144547 0.0199134 14.1087 3 4.70291 0.00276084
2 4 1 7 63 2375 0 35.8901 0.445589 -0.230074 0.0192315 26.1269 3 8.70896 8.97142e-06
2 4 1 8 64 2362 0 37.2886 0.645396 -0.27383 0.0266956 28.1582 3 9.38605 3.36473e-06
2 4 1 9 65 1813 0 29.1316 0.498182 0.0293756 0.0223766 21.3014 4 5.32536 0.000275935
2 4 1 10 66 13773 0 27.9471 0.153268 0.110961 0.00655503 474.008 5 94.8015 3.24937e-100
2 4 1 11 67 3581 0 31.9888 0.29164 -0.0119869 0.012467 128.761 4 32.1903 7.16633e-27
2 4 1 12 68 6735 0 32.1589 0.255285 -0.0809278 0.0113591 13.617 4 3.40426 0.00862319
2 4 1 13 69 2785 0 32.1383 0.38287 -0.0769543 0.0169993 11.1397 4 2.78492 0.0250384
2 5 1 7 77 11502 0 27.8348 0.190322 0.0121215 0.00916807 155.135 3 51.7115 2.05605e-33
2 5 1 8 78 18717 0 28.7447 0.107301 -0.00793329 0.00534834 40.2471 4 10.0618 3.84791e-08
2 5 1 9 79 16701 0 29.6103 0.112177 -0.0160551 0.00505254 331.348 4 82.8369 1.8647e-70
2 5 1 10 80 4737 0 28.0846 0.214111 -0.00502365 0.00969391 170.534 4 42.6335 8.03278e-36
2 5 1 11 81 14 0 26.9574 1.90935 0.28125 0.09375 0.170213 1 0.170213 0.679923
2 5 1 12 82 0 -1 nan nan nan nan nan 0 nan nan
2 5 1 13 83 0 -1 nan nan nan nan nan 0 nan nan
