# CDet half-bar intercept alignment at common ECal time
# reference_ecal_time_ns 22
# common_within_slope_ns_per_ns -6.10167e-05
# detector_reference_ns 29.6304
# layer half_bar entries mean_ecal_ns mean_cdet_ns projected_cdet_at_reference_ns intercept_error_ns valid proposed_offset_increment_ns
2 56 2999 26.1639 29.6489 29.6492 0.0495566 1 -0.0188222
2 57 2371 25.4187 29.6295 29.6297 0.0619218 1 0.000663707
2 58 3539 26.1351 29.6563 29.6566 0.0496126 1 -0.026203
2 59 1108 25.0948 29.6624 29.6626 0.0797086 1 -0.0322273
2 60 1447 24.9418 29.6336 29.6337 0.0801187 1 -0.00335675
2 61 250 23.543 29.5851 29.5852 0.199491 1 0.0452122
2 62 3300 23.1463 29.6481 29.6481 0.057581 1 -0.0177484
2 63 1984 23.5456 29.6281 29.6282 0.0706643 1 0.00217117
2 64 2054 24.423 29.3606 29.3607 0.107907 1 0.26965
2 65 1270 22.0916 29.5882 29.5882 0.104788 1 0.0422009
2 66 12575 22.9908 29.6056 29.6057 0.0273591 1 0.0246991
2 67 3109 23.0769 29.646 29.646 0.0558748 1 -0.0156554
2 68 5652 22.4172 29.6265 29.6265 0.039611 1 0.00383177
2 69 2456 22.6829 29.6309 29.631 0.059417 1 -0.000581443
2 70 0 nan nan nan nan 0 0
2 71 0 nan nan nan nan 0 0
2 72 0 nan nan nan nan 0 0
2 73 6 19.861 37.2821 37.2819 5.74997 0 0
2 74 33 20.5604 31.0158 31.0157 1.48667 0 0
2 75 27 21.5491 33.2066 33.2066 1.72334 0 0
2 76 7145 20.8074 29.6226 29.6225 0.0348263 1 0.00788963
2 77 9946 20.8225 29.6281 29.628 0.0238602 1 0.00232451
2 78 14976 19.9179 29.6104 29.6102 0.0250425 1 0.0201394
2 79 13575 22.0608 29.6322 29.6322 0.0186891 1 -0.0017903
2 80 3771 21.5579 29.608 29.608 0.0454126 1 0.0223975
2 81 0 nan nan nan nan 0 0
2 82 0 nan nan nan nan 0 0
2 83 0 nan nan nan nan 0 0
